単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
e-mail,名,Eメール、電子メール,He sent me an e-mail.,,
emergency,名,非常事態、緊急事態,The emergency bell rang.,●,
empty,形,からの、空いている、だれもいない,find an empty box,,
encourage,動,～を勇気づける、～を励ます,encourage students,,
end,"名
動","終わり、最後、端、先端
終わる、～を終える","the end of the test
The test ended.",,
energy,名,エネルギー、(心身の)力,the energy of the sun,,
engineer,名,技術者、技師、エンジニア,become an engineer,,
English,"名
形
","英語、イングランド〔英国・イギリス〕人
イングランド〔英国・イギリス〕人の、英語の、英国の、英語で書かれた","speak English
English language
",,●
enjoy,"動

","～を楽しむ　
　enjoy ～ing　～して楽しむ　
　enjoy ～self　楽しむ、楽しく過ごす","enjoy walking

",,●
enough,"形
副
代","十分な、必要なだけの
十分に
十分(な量、数)","enough food
It is big enough.
I've had enough.",,●
enter,動,～に入る、～に入学〔加入・入会〕する,enter the room,,
entrance,名,①入口、玄関　②入学、入会,①the back entrance　②entrance exam,,●
environment,名,(自然)環境,the natural environment,,
eraser,名,消しゴム、消すもの,a black eraser,,
especially,副,特に、とりわけ,This question is especially important.,,
Europe,名,ヨーロッパ,go to Europe,,
even,"副
","①～でさえ　②さらにいっそう　
　even if ～　たとえ～だとしても","①even a child　②even better
",,●
evening,名,夕方、晩,in the evening,,
event,名,出来事、行事、催し物、イベント,sports events,,
ever,副,今までに、かつて,Have you ever been to ～?,,
every,"形

","①すべての、あらゆる　②毎～、～ごとに　
　every year　毎年　
　every day　毎日","①in every way　②every Sunday

",,●
everybody,代,(単数扱い)みんな、すべての人　,everybody has to say something,,
everyday,形,毎日の、日々の、日常の,everyday clothes,●,
everyone,代,(単数扱い)みんな、すべての人　,Everyone likes Mr. Kato.,,
everything,代,(単数扱い)すべてのこと〔もの〕、あらゆるもの〔こと〕、何もかも,Thank you for everything.,,
everywhere,副,いたるところで〔に〕、どこでも,everywhere in Japan,,
exactly,"副
","ちょうど、まさしく、正確に
　Exactly.　全くそのとおり。","He arrived exactly at ten.
",●,
exam,名,試験、テスト　,passed the exam,,
example,"名
","例、実例　
　for example　例えば","Give me an example.
",,●
excellent,形,優秀な、非常に優れた、(評点が)優の,an excellent idea,,
exchange,"名
動","交流、やりとり、交換
～を交換する、～を両替する","an exchange of students
exchange ideas",,●
excited,形,興奮した、興奮して、わくわくして,I was very excited.,,
exciting,形,興奮させる、わくわくさせる、刺激的な,an exciting game,,
excuse,"動
","～を許す
　Excuse me.　すみません。失礼ですが。","Excuse me, but ～.
",,●
exercise,"名
動","運動、(身体を)動かすこと、練習(問題)
運動する","Everyone needs to get some exercise.
He is exercising.",●,
expensive,形,高価な、(値段が)高い、費用のかかる,buy an expensive camera,,
experience,"名
動","経験、体験
～を経験する、～を体験する","have a good experience
experienced many things",,●
explain,動,～を説明する,explain the meaning of the word,,
express,動,～を表現する、～を表す、～を示す、～を述べる,express an idea,,
eye,名,目、視力,Close your eyes.,,
,,,,,
【f】,,,,,
face,"名
動","顔、面、表情
～に立ち向かう、～に直面する","Look at his face.
face some difficulties",,●
fact,名,事実、現実,know the real fact about ～,,
factory,名,工場,a car factory,,
fail,動,失敗する、(学科・試験に)落ちる,He failed many times.,●,
fall,"名

動
","①秋　②滝　　

落ちる、降る、落下する、転ぶ　《活用》fell-fallen
　fall down　倒れる","①Leaves become red in fall.　②visit a famous water fall
The pencil fell from the desk.
",,●
family,名,家族,in my family,,
famous,"形
","有名な
　be famous for ～　～で有名な","a famous actor
",,●
fan,名,①扇風機、扇、うちわ　②ファン、熱心な愛好者,①an electric fan　②a basketball fan,,●
fantastic,形,すばらしい、すてきな,a fantastic performance,●,
far,"形
副

","遠い
遠くに、～の及ぶ限りでは　
《活用》farther/further-farthest/furthest
　so far　今まで(は)、これまで(は)","from a far place
go far

",,●
farm,名,農場、農園,a small farm,,
farmer,名,農民、農業従事者、農場経営者、農業をする人,a fruit farmer,,
fast,"名
形
副","断食(の期間)
速い
速く","start a fast
He is a fast runner.
He runs very fast.",,●
fat,形,太った,get fat,●,
father,名,父、父親,my father,,
favorite,"名
形","お気に入り(のもの)
お気に入りの、大好きな、いちばん好きな","This is my favorite.
my favorite subject",,●
feature,名,特色、特徴,have a lot of great features,●,
February,名,２月,in February,,
fee,名,料金,pay a fee,●,
feed,"動
",～に食べ物を与える、～にえさを与える　《活用》fed-fed,feed my pets,●,
feel,"動
","～と感じる、～と思う　《活用》felt-felt　
　feel like ～ing　～したい気がする　","feel sick
",,●
feeling,名,感情、感覚,a good feeling,,
feet,名,(長さの単位)フィート,fifty feet of water,●,
festival,"名
","祭り、祭典、催し物　
　school festival　文化祭","have a music festival
",,●
fever,名,熱、発熱,I have a fever.,●,
few,"形
","ほとんど～ない
　a few  小数の、少しの","a few days later
",,●
fiction,"名
","小説、フィクション、作り話　
　science fiction 　SF、空想科学小説","You can enjoy reading this fiction.
",●,
field,名,分野、野原、(競技場の)フィールド,a rice field,,
field trip,名,遠足、校外学習,We went on a field trip a week ago.,●,
fifteen,"名
形","１５
１５の","My favorite number is fifteen.
She is fifteen years old.",,●
fifteenth,"名
形","１５番め、１５日
１５番めの","I was born on October 15th.
in the fifteenth century",,●
fifth,"名
形","５番め、５日
５番めの","Her birthday is September 5th.
in the fifth century",,●
fifty,"名
形","５０
５０の","My lucky number is fifty.
fifty minutes later",,●
fight,"名
動","戦い、奮闘
戦う、奮闘する　《活用》fought-fought","had a fight
fight against ～",,●
figure,"名
動","図、数字
～と思う","the figure eight on the card
I figured ～.",●,
fill,動,～を満たす、いっぱいになる、～をいっぱいにする,fill the cup with water,,
final,形,最後の、最終の,the final day of a year,,
finally,副,とうとう、ついに、やっと、最後に,finally arrived at the station ,,
find,"動
",～を見つける、～を発見する、～に気づく、～とわかる　《活用》found-found,"find a good book
",,
fine,"名
形","罰金
①すばらしい、元気な、健康な、満足できる　②晴れた","a small fine
①I'm fine.　②It's fine today.",,●
finger,名,(手の)指,the middle finger,,
finish,動,終わる、～を終える、～し終える,finish my homework,,
fire,"名
動
","火、火事
～を解雇する　
　get fired　解雇される","use fire
I was fired from my company.
",,●
fire station,名,消防署,There is a fire station near my house.,●,
firework,名,花火,We saw a lot of fireworks in the festival.,●,
first,"名
形
副

","１番め、１日
１番めの、最初の
はじめて、第１に、最初に　
　at first　最初は、はじめのうちは
　for the first time　初めて　　","My birthday is January 1st.
the first thing to do
First, ～.

",,●
fish,"名
動","魚　《複数》fish
魚を取る、釣りをする","catch five fish
I like to fish.",,
fishing,名,釣り,go fishing,●,
fit,動,～に合う、～に合わせる、～に適合させる,The pants fit me.,●,
five,"名
形","５
５の","My lucky number is five.
for five minutes",,●
flight,名,飛行、(飛行機の)便、フライト、飛行機の旅,take a flight to London,,
flight attendant,名,客室乗務員,I want to work as a flight attendant.,●,
floor,名,ゆか、階,on the third floor,,
florist,名,花屋、花屋の店主〔店員〕,He is a florist.,,
flower,名,花,grow flowers in the garden,,
flute,名,フルート、横笛,She plays the flute.,●,
fly,動,飛ぶ、飛行する　《活用》flew-flown,fly from London to New York,,
focus,"名
動
","中心
注意〔努力〕を集中させる、重点的に取り扱う、(注意などを)集中する","a focus of trouble
focus your attention
",●,
fold,"動
","～を折る、～を折りたたむ 
　fold ～ up　～を折りたたむ","fold a piece of paper
",●,
follow,動,～のあとについて行く、～に従う、～を守る,follow him,,
following,形,次の、あとに続く,Answer the following questions.,,
food,名,食べ物,delicious food,,
foot,"名

","①足(くるぶし以下の部分)　②(山の)ふもと　③(長さの単位)フィート、フット(３０．４８cm)　《複数》feet
　on foot　徒歩で","①He broke his foot.　②the foot of the mountain　③five feet
",,●
football,名,アメリカンフットボール、サッカー,play football,,
for,前,①～のために〔の〕 ②～に向けて ③～にとって　④～の間　⑤～を求めて,①for you　②a train for Umeda　③good for your health　④for two days　⑤ask him for help,,●
foreign,形,外国の、外国人の,a foreign language,,
forest,名,森、森林,in the forest,,
forever,副,永遠に、ずっと、いつまでも,remember her forever,,
forget,"動
",～を忘れる、～を置き忘れる　《活用》forgot-forgot/forgotten,forget my umbrella,,
forty,"名
形","４０
４０の","My favorite number is forty.
forty years ago",,●
forward,"副
","先へ、将来に向かって、前に進んで、前方へ　
　look forward to ～　～を楽しみに待つ","move the car forward
",,●
four,"名
形","４
４の","The number was four.
four years ago",,●
fourteen,"名
形","１４
１４の","I like the number fourteen.
My brother is fourteen years old.",,●
fourteenth,"名
形","１４番め、１４日
１４番めの","His birthday is April 14th.
in the fourteenth century",,●
fourth,"名
形","４番め、４日
４番めの","on July 4th
in the fourth century",,●
fox,名,キツネ,They saw two foxes in the forest.,●,
France,名,フランス,a trip to France,,
free,"形
","ただの、自由な、ひまな、無料の
　feel free to ～　遠慮なく～する","I'll be free tomorrow.
",,●
French,"名
形","フランス人、フランス語
フランス人の、フランス語の、フランスの","speak French
a French lesson ",,●
fresh,形,新しい、新鮮な,fresh vegetables,,
Friday,名,金曜日,on Friday,,
fried,形,揚げ物にした、フライにした,fried chicken,●,
friend,名,友だち、友人,make friends ,,
friendly,形,友好的な、人なつこい、優しい、親切な,She is friendly to me.,,
friendship,名,友情、親交、友人関係,an old friendship,,
frog,名,カエル,A frog jumped into the pond.,●,
from,前,～から(の)、～で,I'm from Osaka.,,
front,"名
形
","前部、前面、前方
前の
　in front of ～　～の前で〔に〕","the front of a car 
a front hall
",,●
fruit,名,くだもの,fresh fruit,,
full,"形

","いっぱいの、満ちた、満腹の　
　be full of ～　～でいっぱいの　
　in full　全部","I'm full.

",,●
fun,"名
形","楽しみ、楽しさ、喜び、おもしろいもの
おもしろい、楽しい","have a lot of fun
a fun time",,●
funny,形,おかしな、おもしろい,a funny story,,
furniture,名,家具,There is a lot of furniture in this room.,●,
further,形,それ以上(の)、さらなる,further information,●,
future,"名
形","将来、未来
将来の、未来の","in the future
future hopes",,●
,,,,,
【g】,,,,,
game,名,試合、競技、ゲーム,watch a baseball game,,
garbage,名,ごみ、生ごみ,collect garbage,●,
garden,名,庭、庭園,flowers in the garden,,
gas,名,①ガス　②ガソリン,①natural gas　②a gas station,●,
gas station,名,ガソリンスタンド,We found a gas station on the way.,●,
gate,名,門、通用門、扉、搭乗口,open the gate,,
gather,動,～を集める、集まる、～をつむ,gather a lot of information,,
gender,名,性,Gender is a major topic.,●,
German,"名
形","ドイツ人、ドイツ語、ドイツ
ドイツ人の、ドイツ語の、ドイツの","speak German
German people",,●
Germany,名,ドイツ,go to Germany,,
get,"動





","①～を得る　②～になる　③～に着く　④～を理解する　《活用》got-got/gotten
　get off ～　～から降りる
　get to ～　～に着く、到着する
　get up　起きる
　get well　よくなる","①get a CD 　②get sick 　③get to the station　④get his meaning



",,●
gift,名,贈り物、土産物,a gift from my friend,,
giraffe,名,キリン,I saw a giraffe at the zoo.,●,
girl,名,女の子、少女,a Japanese girl,,
give,動,(…に)～を与える、～をあげる　《活用》gave-given,give him a present,,
glad,形,(～して)うれしい　,I'm glad to see you. / I'm glad that you like it.,,
glass,"名
","コップ、グラス 
　a glass of ～　コップ１杯(の量)の～","a glass of water
",●,
glasses,名,めがね,He wears glasses.,●,
global,形,世界的な、地球全体の,global education,,
glove,名,手袋,take off my gloves,●,
go,"動






","①行く　②(事が)進行する　《活用》went-gone
　be going to ～　～するつもりだ、～する予定である
　go ～ing　～しにいく
　go out　出かける、外出する
　go to bed　寝る、就寝する
　go by　(時間が)過ぎる、通り過ぎる
　go on to ～　～に移る","①go to the park　②Everything went well.





",,●
goal,名,目標、ゴール,my goal in life,,
gold,"名
形","金、金色
金の、金色の","This ring is gold.
She has a gold watch.",●,
good,"形

","良い、すぐれた、おいしい、上手な、適している　《活用》better-best
　be good at ～　～が得意である、～が上手だ","a good restaurant

",,●
goodbye,間,さようなら,say goodbye to ～,,
goods,名,商品、品物,foreign goods,●,
government,名,政府、自治体,the Japanese government,,
grade,名,学年、成績、等級,in the second grade,,
graduate,動,卒業する,graduate from junior high school,,
graduation,名,卒業,a graduation ceremony,●,
gram,名,グラム,100 grams is not heavy.,●,
grandfather,名,祖父、おじいさん,his grandfather,,
grandma,名,おばあちゃん、祖母,my grandma,●,
grandmother,名,祖母、おばあさん,my grandmother,,
grandpa,名,おじいちゃん、祖父,his grandpa,●,
grandparent,名,祖父母,visit my grandparents,,
grape,名,ブドウ,These grapes are delicious.,●,
great,形,偉大な、すぐれた、大きな、すばらしい,a great doctor,,
greatly,副,大いに、非常に,It greatly changed.,●,
Greece,名,ギリシャ,My father went to Greece last year.,●,
green,"名
形","緑、緑色
緑の、緑色の、環境にやさしい","I like green.
green vegetables",,●
ground,名,地面、土地,sit on the ground,,
group,名,集団、グループ,a group of four people,,
grow,"動
",成長する、育つ、～を栽培する、～を育てる、～になる　《活用》grew-grown,grow up / grow fruit,,
guess,"動
","～を推測する、～だと思う
　Guess what!　あのね、何だと思う？","guess the answer
",,●
guest,名,客,A lot of guests came to the hotel.,●,
guide,"名
動","ガイド、案内人
～を案内する、～を導く、～を誘導する","a tour guide
guide him into the building",,
guitar,名,ギター,play the guitar,,
gym,名,体育館、ジム,a school gym,,
,,,,,
【h】,,,,,
hair,名,毛、髪の毛,have long hair,,
half,"名
形
副","半分、２分の１
半分の
半分だけ","half of them
half an hour
The door was half closed.",,●
hall,名,ホール、玄関、集会所、大広間,in the hall,,
hamburger,名,ハンバーガー,I ate a hamburger at the restaurant.,●,
hand,"名
動

","手
～を手渡す　
　hand out ～　～を配る
　on the other hand　一方、それに対して","the right hand
Hand it to me.

",,●
handle,動,～を扱う、～を処理する,handle a problem,●,
hang,"動

","～をつるす、～を掛ける、ぶらぶらする　《活用》hung-hung
　hang up ～　～を掛ける","hang up a coat

",●,
happen,動,起こる、生じる,What happened?,,
happy,形,幸せな、楽しい、(～して)うれしい,a happy family / I'm happy that today is sunny.,,
hard,"形
副","①かたい　②難しい、困難な、苦しい
いっしょうけんめいに、熱心に　","①a hard apple　②hard to see
study hard",,●
hat,名,(縁のある)帽子,wear a black hat,,
have,"動
",～を持っている、～を食べる、～を飼っている　《活用》had-had,have a dog,,
have to ,,"～しなければならない
　don't have to ～　～する必要はない","You have to brush your teeth before going to bed.
",●,
he,代,彼は、彼が,He is playing soccer.,,
head,名,頭,her head,,
headache,名,頭痛,have a headache,,
health,名,健康,your health,,
healthy,形,健康な、健康によい,He looks healthy.,●,
hear,"動

","～を聞く、～が聞こえる　《活用》heard-heard
　hear about ～　～について聞く 
　hear of ～　～のことを聞く　","hear a noise

",,●
heart,名,心臓、心,my heart,,
heavy,形,①重い　②ひどい,①That bag is very heavy.　②the heavy rain,,●
hello,間,やぁ、こんにちは,"Hello, everyone.",,
help,"名
動


","援助、助け
～を助ける、～を手伝う　　　
　help yourself　自由にとって食べる
　Can 〔May〕 I help you?　いらっしゃいませ。
  help ～ with …　～が...するのを手伝う","Do you need any help?
help my sister do her homework


",,●
helpful,形,助けになる、役立つ、有用な,helpful ideas,,
her,代,彼女の、彼女を〔に〕,her bag / I saw her.,,●
here,"副

","ここに〔へ・で〕
　Here you are.　はい、どうぞ。
　Here's ～.　これが～です。ここに～があります。","wait for you here

",,●
hero,名,英雄、ヒーロー,He is my hero.,●,
hers,代,彼女のもの,It is hers.,,
herself,代,彼女自身(で),She went there herself.,●,
hey,間,やぁ、おい、ちょっと,"Hey, what's wrong?",●,
hi,間,やぁ、こんにちは,Hi!  How are you?,,
hide,動,～を隠す、隠れる　《活用》hid-hid/hidden,She hid something in the box.,●,
high,"名
形
副","最高気温、最高水準
①高い、高等の　②高さが～の
高く","reach a new high
①a high mountain　②The wall is three meters high.
fly high　",,●
high school,名,高校,My brother goes to high school.,●,
hiking,名,ハイキング,go hiking,●,
hill,名,丘、小山,go up a hill,●,
him,代,彼を、彼に,I met him.,,
himself,代,彼自身(で),He often talks to himself.,●,
hint,名,ヒント、手がかり,Give me a hint.,●,
his,代,彼の、彼のもの,his jacket / It is his.,,●
history,名,歴史,Japanese history,,
hit,"名
動
","当たり、成功、ヒット曲
～を打つ、～にぶつかる、～を襲う、～に打撃を与える  《活用》hit-hit","a great hit
hit a ball
",,●
hobby,名,趣味,my hobby,,
hold,"動
",～を持っている、～をつかむ、～を開催する、～を開く　《活用》held-held,hold a party,,
hole,名,穴,a hole in the ground,●,
holiday,名,休日、休暇、祝日,a national holiday,,
home,"名
形
副","①家、家庭　②故郷
在宅の
家に、家へ","①leave home at seven  ②Her home is London.
will be home soon
go home / on my way home",,●
home economics,名,家庭科,Home economics is my favorite subject.,●,
hometown,名,ふるさと、故郷,Where is your hometown?,●,
homework,名,宿題,have a lot of homework,,
hope,"名
動
","希望、望み
～だと望む、～だと願う、～だとよいと思う 
　hope to ～　～したいと思う","hopes and dreams
I hope that ～.
",,●
horror,名,恐怖、恐ろしさ,Snakes are a horror to me.,●,
horse,名,ウマ,ride a horse,●,
hospital,名,病院,in the hospital,,
host,"名

動","(パーティー・食事会・自宅で客を接待する)主人(役)、ホスト(役)
(会などを)主催する","my host family

host a party",●,
hot,形,①暑い、熱い　②辛い,①It's hot. / a cup of hot tea　②This soup tastes hot.,,●
hot spring,名,温泉,I visited a hot spring.,●,
hotel,名,ホテル,arrive at a hotel,,
hour,名,時間、時刻、１時間、６０分,for two hours,,
house,名,家,live in a big house,,
how,"副





","①(程度)どれくらい　②(方法・手段)どのようにして、どんなふうに　③(状態)どんなようす〔ぐあい〕で　④(感嘆文で)なんと、なんて、どんなに
　How about ～?　～についてはどうですか。～(して)はどうですか。
  how to ～　～のし方、～する方法","①How many ～? / How much ～?　②How do you know the news?　③How are you?　④How interesting!



",,●
however,"副
接","しかしながら、けれども
しかしながら、だが","They told me it was cold, however ～.
However, ～.",,●
hug,"名
動","抱擁、ハグ
～を抱きしめる","give him a big hug
hug my cat",●,
huge,形,巨大な,a huge mountain,,
human,"名
形","人間
人間の、人間的な","humans and nature
a human body",,●
hundred,"名
形","１００
１００の","two hundred
three hundred pages",,●
hungry,形,お腹の空いた、空腹の、飢えた,I'm really hungry.,,
hunt,動,～を狩る、狩りをする、～を捜す,hunt a big bear,●,
hurry,"名
動
","急ぐこと
急ぐ
　Hurry up!　急いでください。","in a hurry
hurry to ～
",,●
hurt,"動

形
","痛む、～を傷つける、～にけがをさせる　《活用》hurt-hurt
けがをした 
　get hurt　けがをする","hurt my arm

Some people were hurt.
",,●
husband,名,夫,my husband,,
,,,,,
【i】,,,,,
I,代,私は、私が,I have a good idea.,,
ice,名,氷,a piece of ice,,
ice cream,名,アイスクリーム,I like ice cream.,●,
idea,名,考え、アイディア,I didn't have any idea about his problem.,,
if,接,もし～ならば,if he is sick,,
imagine,動,～を想像する,Can you imagine that?,,
important,形,大切な、重要な,an important book,,
impossible,形,不可能な,It is impossible to ～.,,
improve,"動
",～を改善する、～を上達させる、～を向上させる、進歩する、よくなる,want to improve my English,,
in,"副
前

","中へ〔に〕
①(場所・位置)～(の中)に〔で・の〕　②(範囲)～において　③(時間)～に、～の間に、～後に　④(方法・道具・材料)～で、～を使って","come in
①in the street　②in my opinion　③in five minutes　④speak in English
",,●
include,動,～を含む、～を含める,The meal includes coffee.,●,
increase,動,～を増やす、増える、増加する,The population is increasing.,●,
India,名,インド,in India,●,
influence,"名
動","影響、影響力
～に影響を及ぼす、～を感化する","have an influence on children
influence a person",,●
information,名,情報,collect information,,
injured,形,傷ついた,I was injured.,●,
ink,名,インク,write in ink,●,
inside,"副
前","内側に、中で
～の中に〔で〕","look inside
inside the house",,●
instead,"副
","その代わりに　
　instead of ～　～の代わりに","He couldn't go, so I went instead.
",●,
instruction,名,指示、指図,follow the instruction,●,
instrument,名,道具、楽器,a musical instrument,●,
interested,"形
","興味がある、興味をもっている、関心がある
　be interested in ～　～に興味〔関心〕をもっている","I'm interested in science.
",,●
interesting,形,おもしろい、興味深い,an interesting story,,
international,形,国際的な,an international flight,,
Internet,名,インターネット,on the Internet,,
interview,"名
動","インタビュー、面接　　
(～に)インタビューする、～を面接する","have a job interview
I interviewed him.",,
interviewer,名,インタビューする人、インタビュアー,many interviewers,●,
into,前,①～の中へ、中に向かって　②～(の状態)に(なって),①throw a stone into the river　②change something into something else,,●
introduce,動,～を紹介する,introduce a friend to my father,,
invent,動,～を発明する,invent the radio,,
inventor,名,発明家、発明者,Who was the inventor of the radio?,●,
invite,動,～を招待する、～を招く,invite my friends to the party,,
is,動,(beの三人称・単数・現在形)①～です、～だ　②(～に)いる、ある,He is in the house.,,●
island,名,島,live on an island,,
it,代,①(前に出てきたものをさして)それは、それが、それを、それに　②時間、曜日、天候などを表す,①Give it to me.　②It is fine today.,,●
Italian,"名
形","イタリア人、イタリア語
イタリア人の、イタリア語、イタリアの","speak Italian
an Italian restaurant",●,
Italy,名,イタリア,in Italy,●,
its,代,それの、その,The dog hurt its leg.,,
itself,代,それ自身,History repeats itself.,●,
,,,,,
【j】,,,,,
jacket,名,上着、ジャケット,a man wearing a jacket,,
jam,名,ジャム,strawberry jam,●,
January,名,１月,in January,,
Japan,名,日本,in Japan,,
Japanese,"名
形","日本人、日本語、国語
日本人の、日本語の、日本の","My favorite subject is Japanese.
study Japanese art",,●
job,名,仕事、作業、務め,get a job as a teacher,,
jog,動,ゆっくり走る、ジョギングする,I like jogging.,●,
join,動,～に参加する、～に加わる、～をつなぐ、つながる,join a soccer club / join hands with ～,,●
joke,"名
動","冗談
冗談を言う","many funny jokes
joke with my friends",,●
joy,名,喜び、うれしさ、歓喜,feel great joy,,
judge,"名
動","審判、審査員
～を判断する","a judge of a contest
judge people by ～",,●
juice,名,ジュース,apple juice,,
July,名,７月,in July,,
jump,動,跳ぶ、はねる、ジャンプする,jump into the river,,
June,名,６月,in June,,
junior,形,年下の、下級の,a junior class,●,
junior high school,名,中学校,How can I get to your junior high school?,,
just,"形
副","ちょうど、ぴったりの
①ちょうど、まさに　②ただ～だけ、ちょっと","just the same
①just now　②just once",,●
,,,,,
【k】,,,,,
keep,"動


","①～のままである、～にしておく、(～を)(…に)保つ、～を続ける　②(日記や記録を)つける　③～を飼う　《活用》kept-kept
　keep ～ ing 　～し続ける","①Keep quiet. / keep the room clean　②keep a diary　③keep a cat

",,●
Kenya,名,ケニア,in Kenya,●,
key,"名
","①かぎ　②手がかり、秘けつ
　the key to ～　～の秘けつ","①lose a key　②the key to success
",,●
kick,"名
動","蹴ること、キック
～を蹴る","give a kick
kick a ball",,●
kid,"名
動","子ども
からかう、冗談を言う","many kids on the street
I am just kidding.",●,
kill,動,～を殺す,Many people were killed in the war.,,
kilogram,名,キログラム,two kilograms,,
kilometer,名,キロメートル,two kilometers,,
kind,"名
形




","種類
親切な、やさしい
　a kind of ～　一種の～
　... kind(s) of ～  …種類の～
  That's very kind of you.　どうもご親切にありがとうございます。","a different kind of job
a kind person



",,●
kindness,名,親切、親切な行為、思いやり、やさしさ,Thank you for your kindness.,●,
king,名,王,the king of birds,,
kitchen,名,台所、キッチン,in the kitchen,,
knee,名,ひざ,on your knees,●,
knife,名,包丁、ナイフ  《複数》knives,cut an apple with a knife,,●
knock,動,ノックする、たたく,knock on the door,●,
know,"動


","～を知る、～を知っている、～がわかる
　《活用》knew-known
　I know.　(同意を表して)わかる。
　you know　ねえ、～でしょう","know the boy well / know that ～


",,●
koala,名,コアラ,koalas in Australia,●,
Korea,名,韓国・朝鮮,visit Korea,,
Korean,"名
形
","①韓国・朝鮮人　②韓国・朝鮮語
①韓国・朝鮮人の　②韓国・朝鮮語の　③韓国・朝鮮の","speak Korean
I like Korean food.
",,●
,,,,,
【l】,,,,,
lady,名,女性、婦人、淑女,"Hello, ladies!",,
lake,名,湖、湖水,go fishing in the lake,,
lamp,名,ランプ、明かり、電気スタンド,a street lamp,●,
land,"名
動","土地、陸、陸地
着陸する、上陸する、～を上陸させる","dry land
The pilot landed the plane.",,●
landscape,名,風景、景色,a beautiful landscape,●,
language,名,言語、言葉、(ある国の)国語,language and culture,,
large,形,大きい、広い、多い、多数の、大規模な,a large park,,
last,"名
動
形","結末、終わり、最後
続く
最後の、最終の、この前の、先～、昨～","the last in the race
The weather lasted for two days.
last night ",,●
late,"形

副","①遅い、遅れた　②後期の　③最近の、(最上級latestで)最新の
遅く","①be late for school　②in the late 1970's　③the latest news
back home late",,●
later,副,あとで、のちに、もっと遅く、～後,a few days later,,
laugh,動,(声を出して)笑う,laugh at a joke,,
laundry,名,洗濯、洗濯物,do the laundry,●,
law,名,法律、法則,against the law,,
lawyer,名,弁護士、法律家,work as a lawyer,,
lazy,形,なまけている、怠惰な、だらしない,Don't be lazy.,●,
lead,"名
動

形","(レース、競技などでの)先頭、首位
①～を案内する、～を導く、先頭に立つ　②～にいたらせる、仕向ける　《活用》led-led
最も重要な、主要な","have the lead in the race  
①lead her to the station　②be led to believe

a lead story",,●
leader,名,リーダー、指導者,choose Mary as our leader,,
leaf,名,葉、葉っぱ　《複数》leaves,a green leaf,●,
learn,動,①～を学ぶ、～を習う、～を覚える　②知る、聞く,①learn English  ②learn about the country,,●
leave,"動

","①(～を)去る、(～を)出発する　②～を置いて〔残して〕いく　
③～を置き忘れる　《活用》left-left","①leave home for the station　②Don't leave me alone.
  
③I left my umbrella in the bus.",,●
left,"名
形
副","左、左側
左の、左側の
左へ、左の方へ","on your left
on the left side  
Turn left.",,●
leg,名,(家具、体の)脚、足,the legs of a chair,,
lemon,名,レモン,tea with lemon,,
lend,動,(…に)～を貸す、(…に)～を貸し出す　《活用》lent-lent,lend him my bike,,
lesson,名,授業、レッスン、課、習い事,have no lessons this afternoon,,
let,"動
","～に…させる　《活用》let-let
  Let me see.  ええっと。","Let me show you my town.
",,●
let's,,(let us の短縮形)～しよう、～しましょう,Let's play soccer.,,
letter,名,①文字　②手紙,①in small letters 　②write a letter to her,,●
lettuce,名,レタス,grow lettuce,●,
level,名,①水準、段階　②水平面の高さ、水平、水位,①my English level　②above the sea level,●,
library,名,図書館、図書室,study in a library,,
life,名,"①生活、暮らし　②人生、一生
③生命、命、寿命  《複数》lives　","①school life　②the greatest experience in my life  
③How did life first begin?",,●
light,"名
動
形","光、明るさ、明かり、照明、電灯
～に明かりをつける、～を明るくする
明るい、軽い","a bright light
light the lamp
a light chair",,●
like,"動
前
","～が好きである、～を好む
①～のように、～のような　
②～に似た","I like swimming.
①The cloud looks like an animal.  
②She looks like her mother.",,●
line,"名
","①線、路線　②列、行列、並び　③せりふ
　in line　１列に並んで","①draw a line  ②wait in line  ③forget my lines
",,●
lion,名,ライオン,a group of lions,,
list,"名
動","リスト、表、一覧表
～を(リストに)載せる","a list of books  
listed all the names",,●
listen,"動
","聞く
　listen to ～　～を聞く","Now, listen to the conversation.",,●
little,"形

副
代

","①小さい、年少の　②ほとんど(ない)　《活用》(②の場合)less-least　
少し　
少し
　a little　少し、少しの
　little by little　少しずつ","①a little cat　②There was little water in the bottle.  

speak Chinese a little
We know little about that animal.

",,●
live,"動
形","住む、生きる、暮らす
生放送の、生き生きとしている","live in Osaka  
a live program",,●
living,"形
名","生きている
生活","living things
way of living",●,
local,形,地元の、その土地の、現地の、地域の,local people,,
London,名,ロンドン,live in London,,
lonely,形,孤独な、さびしい、ひとりぼっちの,a lonely boy,●,
long,"形

副

","①長い　②長さが～で

長く、長い間、ずっと
　long ago  ずっと前に
　for a long time　長い間、久しく","①This river is long.  ② This river is 75 kilometers long.　
This bird can live long.

",,●
look,"動

名





","①見る  ②～に見える
③ごらん、ほら(相手の注意を促す)
見ること、ひと目
　look at ～　～を見る
　look for ～　～をさがす 
　look forward to ～　～を楽しみに待つ
　look like ～　～のように見える
　take a look　ちらりと見る、見てみる","①Look at the blackboard.  ②She looks happy. 
③Look, that's his new car.
Just take a look.




",,●
lose,動,①～を失う、～をなくす　②～に負ける　《活用》lost-lost,①I lose my key.  ②We lost a match to them.,,●
